stride_length_cm,ground_contact_ms,hip_drop_degrees,fatigue_index,injury_risk_score
108.8,259.8,10.7,15.4,42.26
97.0,308.2,17.2,7.8,67.18
107.0,269.5,23.5,7.3,78.24
93.1,222.8,16.2,7.3,48.51
140.4,227.7,17.8,15.6,65.73
134.2,181.3,17.9,12.4,44.09
99.5,286.1,11.6,19.9,34.41
150.9,313.0,9.5,12.9,75.7
113.3,245.0,17.5,18.4,37.92
140.5,201.8,13.6,18.5,50.92
130.3,220.5,9.8,8.6,48.54
147.5,178.8,9.1,8.4,45.85
142.0,271.3,8.7,17.6,51.64
83.6,288.7,27.7,9.4,91.13
124.5,212.2,16.6,6.5,65.3
99.4,200.1,26.9,10.1,54.89
151.0,234.8,23.7,16.2,76.0
151.7,185.7,14.9,7.2,53.39
152.3,254.7,18.5,18.2,61.36
105.7,300.3,15.4,16.3,51.78
