stride_length_cm,ground_contact_ms,hip_drop_degrees,fatigue_index,injury_risk_score
131.9,182.6,6.1,1.8,32.81
159.0,291.3,13.3,7.1,84.47
125.8,301.0,6.5,6.2,50.77
95.7,231.4,12.1,1.4,53.27
96.2,341.2,7.3,8.6,57.41
83.7,216.8,9.3,9.0,15.5
99.4,250.8,4.6,9.4,29.35
91.7,319.8,13.1,1.1,51.3
101.5,257.6,12.3,1.3,51.02
159.7,334.5,5.2,3.3,82.97
101.7,315.9,2.3,2.4,36.62
118.3,250.9,13.1,9.8,51.79
137.5,304.8,5.6,7.8,65.66
158.1,339.9,2.6,4.5,67.36
114.0,293.1,10.0,5.3,65.46
138.9,249.3,5.4,9.4,44.92
128.8,282.5,12.8,2.6,78.08
127.4,244.7,5.9,4.7,45.8
122.0,200.2,7.7,7.2,36.27
153.7,289.7,10.0,1.4,74.49
114.1,201.5,10.7,9.8,28.77
144.0,289.1,11.5,7.7,75.35
122.8,209.3,4.4,1.4,40.64
112.6,203.1,11.9,5.4,39.16
101.5,222.5,3.8,4.3,15.37
